article_cover,authors,category,content_summary,headline,published_date,updated_date
https://www.coindesk.com/resizer/JEm7nfcSgm2yHo1vmqow9QcIZ_M=/560x323/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/CO7KXMV3C5FKNDWNU6GXPIUBXM.png,[{'Omkar Godbole': 'https://twitter.com/@godbole17'}],Markets,"Cash-margined contracts are relatively concise and not mathematically convex, making them easier for retail investors to understand and easier for exchanges to liquidate, one volatility trader said. ",Growing Popularity of Cash-Margined Bitcoin Futures Suggests Crypto 'Liquidation Cascades' Might Become Rare,"Oct 18, 2022 at 11:02 a.m. UTC","Oct 18, 2022 at 3:27 p.m. UTC"
https://www.coindesk.com/resizer/2zsmDETlLD0HH559dKd8JPOGtTs=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/HQQXQF6XD5HANC3266SXK4USLM.jpg,"[{'Sam Reynolds': 'https://twitter.com/@thesamreynolds', 'James Rubin': 'https://twitter.com/@@JPRubin23'}]",Markets,"The Special Administrative Region passed a bill that would create a legal framework for accepting digital currency, but would also allow China to monitor Chinese nationals visiting Macau; the largest cryptocurrency by market cap is trading above $19.5K.",First Mover Asia: Macau’s Digital Currency Embrace Could Be a Nightmare for Its Casino Industry; Bitcoin Points Upward,"Oct 17, 2022 at 11:24 p.m. UTC","Nov 14, 2022 at 6:03 p.m. UTC"
https://www.coindesk.com/resizer/KxhDCfmRqYOko3HFSzJnqDRdaKY=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/LJRMTQO2BZARXM36IPUM65JAV4.jpg,[{}],Crypto Explainer+,"No one knows who Satoshi Nakamoto really was, but we do know he was the inventor of Bitcoin, ushering in the age of cryptocurrency.",Who Is Satoshi Nakamoto?,,
https://www.coindesk.com/resizer/oku5_6FWdidLhY8oFcyYqVFwmpE=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/TPZCHNV7SVAO3KV5G4XTPHPNJU.jpg,"[{'Lyllah Ledesma': 'https://twitter.com/@LedesmaLyllah', 'Omkar Godbole': 'https://twitter.com/@godbole17'}]",Markets,"The latest price moves in crypto markets in context for Oct. 18, 2022.",First Mover Americas: Bitcoin Holding Up at $19.5K Despite Bearish Conditions,"Oct 18, 2022 at 12:57 p.m. UTC","Nov 7, 2022 at 5:29 p.m. UTC"
https://www.coindesk.com/resizer/1HltfoUVR8HyTKRVwjIyp4oH_UU=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/BJ3VPSNE3ZE27OF2ECK3JJAXSA.jpg,[{}],Crypto Explainer+,"Whether you already own bitcoin or plan to get some, you’ll want to know how much they’re worth.",Understanding Bitcoin Price Charts,,
https://www.coindesk.com/resizer/xgZPZE8aFMiDlsijHOlBbFHcnHg=/560x296/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/OXAG4PQR3VAGREQDLUPNY5HEGA.jpg,[{}],Reports,,Glassnode: Market Compass June 2020,,
https://www.coindesk.com/resizer/y4xPdWbf-Spj7sQbs_UnH-jM8Tk=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/BKT7RKCB2BBIDGQ3TY6BPHDCTY,[{}],Crypto Explainer+,"Bitcoin transactions are sent from and to electronic bitcoin wallets, and are digitally signed for security.",How Do Bitcoin Transactions Work?,,
https://www.coindesk.com/resizer/dQK3sBRQJx5LyDSvQkfr1xQQNvY=/560x351/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/XYHG663WURHFFNRPRNAP76AXAQ.png,[{}],Markets,Bitcoin is quickly gathering upward momentum alongside a surge in open positions on CME futures.,Bitcoin Breaches $9.2K as Open Positions on CME Futures Hit 10-Month High,"May 6, 2020 at 11:17 a.m. UTC","Sep 14, 2021 at 8:37 a.m. UTC"
https://www.coindesk.com/resizer/aqe2POrGn4K14hTtuzc-yzw_WGM=/560x420/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/UT6XJ26JCFE7ZGTK67BBSDOHFM,[{}],Crypto Explainer+,Bitcoin wallets store the private keys that you need to access a bitcoin address and spend your funds. But which kind suits you best?,How to Store Your Bitcoin,,
https://www.coindesk.com/resizer/jJ1K1WOOR6D0GkcS3PtCdzhhUUs=/560x315/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/6HNDYQA4OVCQFIVPN2ZQATHROA.png,[{}],Tech,"The number of Bitcoin nodes fell to its lowest level in almost three years, according to data calculated by one prominent Bitcoin developer. ",Bitcoin Node Count Falls to 3-Year Low Despite Price Surge,"May 6, 2020 at 6:56 p.m. UTC","Sep 14, 2021 at 8:37 a.m. UTC"
https://www.coindesk.com/resizer/lLlyL_ieWhgQ_ZtyxQCVdz-itW8=/560x296/filters:quality(80):format(jpg)/cloudfront-us-east-1.images.arcpublishing.com/coindesk/4L66OJBEZRD5HHFUH7ZWAPYB6Q.jpg,[{}],Reports,,Delphi Digital: The State of Bitcoin May 2020,,
